authorID,h_index
2124557175,1
1964267543,4
2762410113,1
2225319093,1
2122039117,43
2380280512,1
2153592714,13
217158525,8
2123103677,11
2067710487,3
2182602415,8
2140456132,19
2552546737,10
2566063797,1
2153118160,13
1261840860,8
2110284901,5
2164755512,1
2557636251,5
1879228252,6
223989079,5
2421597725,36
2114349721,1
2273813922,3
2168182461,7
2583836351,1
2043456838,16
2153961702,5
2105096630,9
2608068259,4
2152734913,22
2152463491,38
2139923825,14
2133605001,3
2702284815,1
2103766572,13
2014638924,21
2098142146,24
2232545590,1
228309595,20
1968833974,1
2197589958,5
343872417,10
2153919301,19
2810475451,2
2227431490,1
2306724805,18
2100379155,41
2128359534,3
86562084,8
226285196,8
75181450,6
2151835895,4
2108776057,59
2022973373,5
2144808041,3
2246997821,35
1966422123,6
2098566749,10
2344473614,5
226873380,5
2122673564,17
2143724005,6
2097820858,1
2524294916,2
2084893132,3
2017210037,14
2226159001,1
2205221135,5
2251796628,8
2077922189,3
2740262883,3
2059712033,30
2758250716,1
2778731484,10
301883243,45
2783061017,73
2123210549,7
2429661163,14
2099728054,3
2142484337,5
2157598883,7
2063640528,77
2059675198,30
2165302501,11
2123395352,6
1593113471,13
2228568726,4
2103770408,3
2115519496,8
2086166284,2
2423620510,1
2404000509,1
2777048038,9
2706863439,8
1995204497,2
2152153253,16
167279607,8
1957016794,17
2469098904,31
2342639340,1
2302910629,2
2223140899,2
2549619931,1
2254419387,2
2166224180,19
2557422917,3
1925628910,4
2190025212,2
27824877,16
2115922693,25
2308334354,10
2054498134,5
2759430644,1
2650721314,5
2034368927,6
1974023597,4
2140189277,6
206887103,38
2571955183,19
2100690413,18
1986173824,7
1978829525,14
2518859829,1
1901878803,5
2140276584,3
2778428564,1
2212812779,2
208888620,1
2099400184,26
1980295223,11
2795011505,31
2096205718,3
2311537401,10
2126700834,3
2261871447,2
1843215899,4
2112295779,10
1973340604,4
2027274932,15
2305739359,16
2096537899,9
2222350550,45
1916445243,5
1981716673,2
1991908772,23
2087020075,3
2002845381,2
2042024509,23
2172022379,6
2310687856,14
2159916523,7
2102200743,3
1861424018,5
1442242841,1
2099219525,4
2002346501,5
2743913449,4
2902395745,1
1560095137,6
2164075386,19
2038552831,21
146653556,16
448889126,4
1245255397,6
2258235767,11
2343220827,1
2117988972,2
2566702749,1
2474213993,6
2037584959,6
310474550,3
1998176012,4
2155856586,29
2649296122,21
2048512137,5
2155916173,24
2566263300,1
2133535969,12
2189653528,17
2854151482,2
2276037388,19
1968343546,2
2504731660,3
2224772103,2
676106456,1
2564804301,1
2155428637,10
2230708674,1
2113332752,23
2510005209,27
1999742360,5
608027663,11
1233082015,21
2145396658,3
207163437,32
1235051646,10
2113383541,6
2476074888,1
2097758753,3
2151405738,13
2428204517,1
2147505437,12
2148889336,1
2058496219,18
2526048688,3
2277021833,94
2228965355,1
1990961075,2
260487745,70
2668783627,1
2227981648,2
1694712444,8
176716104,10
311136497,29
2262583234,3
2031649173,1
2109984479,11
2182548852,3
2194883601,12
2166770819,11
9723467,17
2136313896,6
2301047363,5
2206689529,3
2402976991,3
2112148317,2
2079710695,1
1996943492,20
2160303228,10
2226025292,2
303823679,1
2430405842,5
2098604989,1
1963735093,3
2157062790,2
2431387058,5
2477451140,3
2105360680,1
1945396118,10
122592275,14
274606477,9
2226396591,11
2637236197,14
2109123731,73
2200315009,8
1212049787,2
2127900497,18
2009154281,22
1959991429,7
2549833120,58
2689189207,2
2317257349,3
2102811690,9
2107228913,5
2579413160,3
2115571791,3
2892980319,5
1592494938,4
2669620052,1
2281604340,7
2807224764,1
386370067,7
2006052353,9
220468097,3
2011519956,6
2118734836,1
2410569535,4
2631502683,2
2598441299,2
2780026436,10
120353648,12
2139502102,8
1510345372,10
2818995158,6
2126147314,27
2738197541,2
2402299863,1
2125912385,36
2806323418,13
2477574573,1
2101280442,6
1887923642,13
2139108605,6
2159802521,10
2602392199,2
2660798798,2
2090345942,4
2774567201,1
2129799642,3
2210165647,3
831111255,19
2121439857,2
2216063760,16
2133842180,5
2498738539,15
2151526999,4
2094508389,6
1998527223,5
2183803844,1
2329332345,3
2146729734,3
1832426727,2
1632103029,9
2107182203,23
2022831360,40
1982835225,3
80044717,3
2780607010,1
2229031177,1
2233862979,4
2134119370,11
2126135644,11
2155758246,15
2632247666,1
2145196005,2
2327225888,2
2026877756,11
2151129109,6
1973931261,4
697583443,46
2166597158,1
2156557221,9
2144529965,5
2155746002,2
2125865206,11
2562534734,1
2163704528,14
2226626955,1
2003622627,8
2230254031,1
2329373198,2
2191012387,8
2133866030,3
2100793870,2
2331490197,5
783802728,1
1986709867,3
2094499170,34
2065847026,36
268522104,3
2639261802,1
2403003608,2
2354504947,28
2139878428,18
2689098667,1
2166341509,9
2152984464,19
2039666252,28
2108216667,3
2027109919,5
2147672998,3
2032996027,16
2810743625,10
2593684732,25
1215146045,6
2067101521,8
2049982228,13
2106550373,21
2154402856,10
2526419194,2
2087993350,2
212118747,1
2710735689,1
2893809567,2
2489384736,8
2128611756,5
2109032246,2
195655879,5
2561754359,1
2513823832,4
2059562130,4
2231136684,1
2268656625,1
1192443029,6
2145320064,5
1878349279,8
2228361516,1
1992732627,3
2288542314,2
2148063046,11
2425631873,3
2168034562,3
2150207396,6
2285704136,2
2233823776,3
2597512581,4
226754145,6
2111792653,2
1939896188,13
1985759158,2
1982589408,2
2106163972,11
2147407371,5
173611073,11
2565679168,1
2295650078,1
2099282534,2
2469108446,1
2136267010,10
132727405,10
2286849067,1
2395812430,1
2245903518,1
2162081004,2
2144519802,35
2097174711,39
1992449192,22
2196760555,2
2721901605,1
2578547639,4
2460328144,7
2138586430,3
2115901130,8
2229177727,1
2016799400,5
2132527703,12
2221154111,11
2309277440,6
676884056,12
2801724127,1
2319761451,4
1967860428,22
2398722758,1
1678343443,28
2133498158,11
2097461016,11
2634730265,4
130076100,3
2077480579,24
2343521804,4
2184484586,1
2139194542,4
2051819727,4
2328642756,1
2253725708,4
2510759843,1
2131130957,3
2244938638,1
2126896440,5
2122800225,4
2003236380,24
1667268920,3
28146818,7
2168873515,10
2487290723,1
2168910576,4
2461841360,5
1992980786,1
2174753226,1
2147319056,1
2098945574,23
170898442,6
2125676781,38
2134073128,18
2488525404,3
2144178064,9
2701733221,3
2141985859,13
2078580878,2
2612344414,27
1162876464,3
2398730899,2
2298024027,4
104693194,24
2149858205,2
2804275983,6
2568182837,4
2112100723,5
2155997769,3
1981925485,9
2312852875,4
1941646567,2
85022095,24
1893074995,7
2795101767,1
2228842402,1
1999874509,9
2229563679,1
2324196019,1
2213772864,27
2503192642,4
2151987123,13
2181026877,19
280301540,4
1920426690,10
2244380059,2
2201005154,5
2029452983,2
2085411730,3
2248814547,1
2162136626,6
2169865656,7
2527041219,4
2249947701,4
2561036798,1
1415172357,4
2800845139,1
2122077345,9
2309135164,18
1996218720,2
2101840885,11
2423643957,2
2130471413,11
36323373,2
717878791,21
2027677178,5
2197561725,2
2097320549,4
2028173727,24
2806117310,1
2118042106,12
2552957538,1
2222400825,1
2113943634,17
330379897,2
2126154902,31
1979946410,36
322189380,2
1964409583,1
417118134,17
2156646447,3
2031676050,2
2823043181,2
189298353,17
2146668758,6
2229153448,2
2580207296,9
2352247252,7
2496423290,10
2151585871,2
2018438655,4
2585917099,2
2101462646,8
2135353316,8
2111648824,2
2319911388,13
2647479217,2
2227606062,1
704621823,6
2286204914,2
2148715813,2
1981957912,12
1900696461,9
2048096800,8
2106386560,19
2895851921,1
2150536169,32
2658636199,11
2150004001,5
2118955887,18
2493616854,1
2793618155,4
2132059109,10
2138766875,16
2195461419,3
2649068867,1
2167869104,43
2642187682,16
2020080336,1
1832952285,13
2105247178,1
2103213634,45
2009160502,8
2174198211,20
1983026826,6
173739269,7
2397983645,3
2017251567,2
2170183435,34
2147229949,9
1518827160,3
1990297265,4
2296115843,2
2163585309,3
2344552743,10
2007165638,51
2091002580,2
2142197324,7
2125662515,2
2766907938,1
2109996258,30
428620258,1
36975542,8
2294374370,3
2055335673,13
2532189486,27
2158336433,8
2077745921,7
2155238026,7
2116310923,13
2062606437,3
1996713811,26
2794905496,1
2032107906,2
2573169830,4
2307036201,13
1006543089,5
2160984717,4
2188133616,19
2906958616,3
2078570750,8
2106132320,6
2273330698,10
2157235770,5
2231780275,1
2683492681,1
2304140017,37
2169705162,6
2092364994,2
2284983678,3
2037177296,20
2301877845,24
2759422599,2
2342509757,2
2107571043,4
2121755578,25
1118341118,26
2135853928,48
2262933276,17
2143565392,3
2229358906,2
2337094658,3
2138102551,5
2694036714,2
2101727356,7
2461478935,6
2778860548,10
2120728512,6
2044592616,3
2462741423,3
2317147626,8
2150240419,6
2210412685,1
2153328487,4
456394879,4
2105332934,2
2498371049,2
2179871709,18
1158269379,4
2107331443,33
2111642879,31
2271665413,2
2026281205,14
1059827090,6
2079757691,14
2475429999,18
2097379313,12
2144178311,10
2085846229,23
2097041216,1
2106045478,3
1965704027,4
1670663348,11
2116700340,6
2122919095,18
2017443709,15
2001551436,67
2003192367,13
2130861516,8
2101159658,16
1979354585,10
723151468,6
2108742954,3
2149348961,1
2006278649,26
2341562212,41
2059705378,43
2191272762,7
2150850095,16
2405358246,2
1995789251,1
2560655320,1
2074047149,6
2102775473,3
1683457605,43
2307891497,4
1387873006,11
2097639303,3
2226926707,1
2507011542,1
2135772393,2
2316922372,1
224460265,1
2303415824,12
2112095518,10
2303194800,4
378472704,2
2463876039,6
1097723241,8
2007606144,10
2403783242,6
2564823210,14
2240649113,12
2209180005,2
2584796919,7
2786598469,1
363229859,10
1964995260,11
2631643797,1
2143620591,14
2155614187,4
213621531,2
1964007461,13
2740553695,3
2103205496,58
1233362096,8
1554536913,6
1988072260,3
2192777339,19
2159805545,15
2156956098,8
2096401834,23
221610205,4
2128084730,15
2083249986,32
351806588,1
85077253,4
2080502424,4
2124032726,22
2118947382,7
2208973395,10
2113659203,7
1022995310,10
2511495243,10
2091130336,7
2124606982,6
2113980498,2
2715969845,2
1189763300,2
2503065169,1
2640612818,9
209328645,37
1935367324,1
2311343101,36
2251006816,5
1494009348,1
293072008,2
1966180720,12
1214507488,19
2159201232,3
2297452903,1
2102333780,15
2226676801,1
2480479656,2
2132743768,26
1988446137,24
2078574521,3
264287867,4
2228840042,1
2319473530,2
2562086196,1
1106213786,2
1996559335,17
1697270535,11
2033672115,5
103977098,5
2048393695,14
2907983075,44
2003579402,5
2105172869,23
2598817286,18
2333294341,7
2156115860,3
2761430169,9
2124814405,61
2626251708,1
1570349793,5
2304348218,9
2303429723,31
2535619221,2
2061345465,31
2082127207,8
2097328450,39
2119211116,1
2765404556,3
2260978989,17
2160819863,3
2163193976,29
809035498,3
2019808892,8
2222371833,1
2107546969,9
1094911316,5
316362720,1
2159071428,42
2270354743,1
2243053366,34
2570152518,7
2027977525,20
2171875858,20
660525216,1
1181546233,7
1424133526,5
2189705184,3
2066041110,5
2077498974,7
168424504,3
1903209188,9
133953981,3
1194396454,3
2110818770,9
1937432085,7
2129466723,3
2155269646,7
2305568565,5
2118234370,20
2444595849,2
2788354788,2
2319633984,1
